,Unnamed: 0,Unnamed: 0.1,id,label,template,placeholders,nr_instances,err
12,12,12,102808,moving color pencils up,Moving [something] up,['pen'],2,
29,29,29,123183,covering a water bottle with a cloth,Covering [something] with [something],"['bottle', 'cloth']",3,False
67,67,67,22487,moving toy car up,Moving [something] up,['toy car'],2,
69,69,69,20121,pushing wallet from right to left,Pushing [something] from right to left,['wallet'],2,
80,80,80,37160,putting a toy on a surface,Putting [something] on a surface,['toy'],2,
92,92,92,123737,moving remote up,Moving [something] up,['remote'],2,
95,95,95,61445,moving eyeglasses down,Moving [something] down,['glass'],2,
102,102,102,170861,putting pen on a surface,Putting [something] on a surface,['pen'],2,
119,119,119,67683,putting a stapler on a surface,Putting [something] on a surface,['stapler'],2,
149,149,149,22227,uncovering marker,Uncovering [something],['marker'],2,False
151,151,151,104400,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
173,173,173,198971,uncovering mobile,Uncovering [something],['phone'],2,
175,175,175,105542,pushing plastic bottle from left to right,Pushing [something] from left to right,['bottle'],2,
185,185,185,17329,covering color pencils with paper,Covering [something] with [something],"['pen', 'paper']",3,e_frame - s_frame < 4
203,203,203,16208,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
207,207,207,157648,pushing key from left to right,Pushing [something] from left to right,['key'],2,
212,212,212,152137,pushing book from left to right,Pushing [something] from left to right,['book'],2,
227,227,227,126639,covering bottle with towel,Covering [something] with [something],"['bottle', 'towel']",3,e_frame - s_frame < 4
248,248,248,13560,moving color pencils up,Moving [something] up,['pen'],2,
286,286,286,84952,putting mouse on a surface,Putting [something] on a surface,['mouse'],2,
287,287,287,46302,uncovering color pencils,Uncovering [something],['pen'],2,
299,299,299,154767,taking pen,Taking [one of many similar things on the table],['pen'],2,
315,315,315,11407,putting ball on a surface,Putting [something] on a surface,['ball'],2,
342,342,342,102370,pushing glasses from right to left,Pushing [something] from right to left,['glass'],2,
347,347,347,167590,putting an eraser on a surface,Putting [something] on a surface,['eraser'],2,
371,371,371,133083,moving soap down,Moving [something] down,['soap'],2,
389,389,389,28467,covering remote with pillow,Covering [something] with [something],"['remote', 'pillow']",3,
393,393,393,203519,taking book,Taking [one of many similar things on the table],['book'],2,
397,397,397,49768,pushing scissors from left to right,Pushing [something] from left to right,['scissors'],2,
417,417,417,36899,covering pen with tissue,Covering [something] with [something],"['pen', 'tissue']",3,e_frame - s_frame < 4
439,439,439,151804,moving color pencils down,Moving [something] down,['pen'],2,
442,442,442,72329,pushing a bottle from left to right,Pushing [something] from left to right,['bottle'],2,
454,454,454,181499,putting a pen on a surface,Putting [something] on a surface,['pen'],2,
458,458,458,152420,pushing battery from right to left,Pushing [something] from right to left,['battery'],2,
481,481,481,138781,pushing tea cup from left to right,Pushing [something] from left to right,['cup'],2,
491,491,491,113055,moving bucket up,Moving [something] up,['bucket'],2,
501,501,501,213510,pushing battery from left to right,Pushing [something] from left to right,['battery'],2,
515,515,515,1687,uncovering nail clipper,Uncovering [something],['cutter'],2,
519,519,519,103438,moving cell phone down,Moving [something] down,['phone'],2,
532,532,532,173730,uncovering pen,Uncovering [something],['pen'],2,e_frame - s_frame < 4
553,553,553,105368,moving soap box down,Moving [something] down,['soap'],2,
560,560,560,196112,putting a toy on a surface,Putting [something] on a surface,['toy'],2,
571,571,571,127047,pushing adapter from left to right,Pushing [something] from left to right,['adapter'],2,
580,580,580,147002,taking mobile,Taking [one of many similar things on the table],['phone'],2,
593,593,593,51909,moving color pencils up,Moving [something] up,['pen'],2,
595,595,595,161665,pushing mouse from left to right,Pushing [something] from left to right,['mouse'],2,
600,600,600,190793,taking a shoe,Taking [one of many similar things on the table],['shoe'],2,
610,610,610,106667,taking a marker,Taking [one of many similar things on the table],['marker'],2,
637,637,637,151198,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
640,640,640,2907,pushing pencil from right to left,Pushing [something] from right to left,['pen'],2,
674,674,674,114476,moving a can up,Moving [something] up,['can'],2,
684,684,684,10806,moving helmet up,Moving [something] up,['helmet'],2,
710,710,710,6077,pushing key from left to right,Pushing [something] from left to right,['key'],2,
765,765,765,94539,pushing phone from left to right,Pushing [something] from left to right,['phone'],2,
768,768,768,55524,pushing glasses from left to right,Pushing [something] from left to right,['glass'],2,
779,779,779,200140,pushing comb from left to right,Pushing [something] from left to right,['comb'],2,
797,797,797,104323,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
832,832,832,63245,putting ball on a surface,Putting [something] on a surface,['ball'],2,
838,838,838,140428,moving wallet down,Moving [something] down,['wallet'],2,
841,841,841,212012,putting pillow on a surface,Putting [something] on a surface,['pillow'],2,
897,897,897,13084,moving bottle down,Moving [something] down,['bottle'],2,
937,937,937,45646,pushing cup from right to left,Pushing [something] from right to left,['cup'],2,
991,991,991,73966,pushing glass from left to right,Pushing [something] from left to right,['glass'],2,
998,998,998,180194,moving scissors up,Moving [something] up,['scissors'],2,
1045,1045,1045,87644,moving jar up,Moving [something] up,['jar'],2,False
1049,1049,1049,122519,covering color pencils with paper,Covering [something] with [something],"['pen', 'paper']",3,e_frame - s_frame < 4
1067,1067,1067,95580,taking book,Taking [one of many similar things on the table],['book'],2,
1070,1070,1070,117123,taking remote,Taking [one of many similar things on the table],['remote'],2,
1083,1083,1083,176498,putting pendrive on a surface,Putting [something] on a surface,['pendrive'],2,
1086,1086,1086,146453,covering a pot with a lid,Covering [something] with [something],"['pot', 'lid']",3,
1120,1120,1120,143077,putting a remote control on a surface,Putting [something] on a surface,['remote'],2,
1123,1123,1123,162160,taking ball,Taking [one of many similar things on the table],['ball'],2,
